,Player,TEAM,PPI
0,Giannis Antetokounmpo,MIL,2.14192371445856
1,LaMelo Ball,CHA,2.072337811900192
2,Shai Gilgeous-Alexander,OKC,2.2697203093203093
3,Nikola Jokić,DEN,1.8199495834866135
4,Paolo Banchero,ORL,1.6599483912131983
5,Luka Dončić,DAL,2.078233269326506
6,Jayson Tatum,BOS,2.356093121693122
7,Anthony Davis,LAL,2.2450693604477863
8,De'Aaron Fox,SAC,2.3112841597766765
9,Kevin Durant,PHX,1.2357128346615651
10,Anthony Edwards,MIN,2.1007890837428937
11,Damian Lillard,MIL,1.9899299589971098
12,Tyrese Maxey,PHI,2.0507781345841605
13,Jalen Brunson,NYK,2.0463754041065974
14,Karl-Anthony Towns,NYK,2.119961759082218
15,Jaylen Brown,BOS,1.9984029797989395
16,Kyrie Irving,DAL,2.2331459893048127
17,Devin Booker,PHX,2.0369121231288214
18,Cam Thomas,BKN,2.15591671125379
19,Donovan Mitchell,CLE,2.126050096339114
20,Victor Wembanyama,SAS,1.9165057160195276
21,Tyler Herro,MIA,2.122439926062847
22,RJ Barrett,TOR,1.7324780015612804
23,Norman Powell,LAC,1.6056905072893992
24,Cade Cunningham,DET,2.0566744802893573
25,Franz Wagner,ORL,2.2579203429649324
26,DeMar DeRozan,SAC,1.9179770992366412
27,Brandon Ingram,NOP,2.0472228779226422
28,Zion Williamson,NOP,1.7175216078297963
29,Stephen Curry,GSW,2.103297222464156
30,Jaren Jackson Jr.,MEM,1.962517845825236
31,James Harden,LAC,1.8574875393358696
32,LeBron James,LAL,1.9227383314360063
33,Zach LaVine,CHI,2.074847328244275
34,Jalen Williams,OKC,1.3286397995205927
35,Ja Morant,MEM,1.4419791666666668
36,CJ McCollum,NOP,1.6890526785581752
37,Jordan Poole,WAS,1.9343417103738147
38,Julius Randle,MIN,2.1393159851301116
39,Nikola Vučević,CHI,1.2930592622860961
40,Trae Young,ATL,2.251844797178131
41,Pascal Siakam,IND,1.518139123671247
42,Darius Garland,CLE,2.0805217391304347
43,Scottie Barnes,TOR,1.930787303730936
44,Domantas Sabonis,SAC,2.204901508555495
45,Brandon Miller,CHA,2.0622927874708066
46,Jalen Johnson,ATL,2.2632097902097907
47,Joel Embiid,PHI,0.7509604519774012
48,Lauri Markkanen,UTA,1.8541161825726142
49,Kristaps Porziņģis,BOS,0.6797297297297297
50,Jalen Green,HOU,2.2033272631293603
51,Jimmy Butler,MIA,2.0307416122004356
52,Alperen Sengun,HOU,2.2632855371754452
53,Michael Porter Jr.,DEN,2.1581433997999993
54,Dennis Schröder,BKN,1.6957874236280075
55,De'Andre Hunter,ATL,1.4101354166666666
56,Bennedict Mathurin,IND,1.447380769365396
57,Jaden Ivey,DET,1.6198841728598952
58,Derrick White,BOS,2.2173465054799806
59,Coby White,CHI,2.273888890694839
60,Bradley Beal,PHX,1.4685945945945944
61,Gradey Dick,TOR,1.7829225038311916
62,Cameron Johnson,BKN,1.8755779798705965
63,Jamal Murray,DEN,2.01359482341935
64,Shaedon Sharpe,POR,1.5829473684210524
65,John Collins,UTA,2.0374548076923076
66,Evan Mobley,CLE,2.0856452241715404
67,Andrew Wiggins,GSW,1.9177702407002188
68,OG Anunoby,NYK,2.1791929203539824
69,Trey Murphy III,NOP,1.270775903614458
70,Anfernee Simons,POR,1.9223966942148762
71,Tyrese Haliburton,IND,1.725751994720114
72,Collin Sexton,UTA,1.8867719359636077
73,Austin Reaves,LAL,1.8345300908375655
74,Devin Vassell,SAS,1.2484375886351609
75,Payton Pritchard,BOS,1.9598606061177357
76,Chet Holmgren,OKC,1.7114497331128955
77,Fred VanVleet,HOU,2.283068996161628
78,Mikal Bridges,NYK,2.1934206896551727
79,Jared McCain,PHI,1.796787037037037
80,Miles Bridges,CHA,2.0010481218544816
