Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Giannis Antetokounmpo,MIL,29,17,9,8,35.2,32.9,13.2,21.6,60.9,0.2,0.8,21.4,6.4,10.5,61.2,2.1,9.8,11.9,6.6,3.3,0.5,1.4,2.7,59.8,15,3,0.5
LaMelo Ball,CHA,23,18,6,12,34.1,31.1,10.7,24.9,43,4.7,13.1,35.6,4.9,5.8,84.8,0.9,4.4,5.4,6.9,4.5,1.1,0.2,4.1,47.4,4,0,-0.9
Shai Gilgeous-Alexander,OKC,26,20,15,5,34.6,30,10.4,20.7,50.4,2.1,6.1,34.4,7.1,8.3,85.5,1,4.5,5.5,6.5,2.8,1.7,1.1,1.9,51.7,2,0,10.5
Nikola Jokić,DEN,29,15,9,6,37.5,29.6,11.1,19.8,56.2,2.2,4.3,50.8,5.1,6.3,81.9,4.1,9.1,13.2,10.7,3.7,1.5,0.9,1.9,64.7,13,8,8.9
Paolo Banchero,ORL,22,5,3,2,36.4,29,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50,2,0,5.8
Luka Dončić,DAL,25,15,8,7,36.6,28.6,10.2,22.7,44.9,3.3,9.9,32.9,4.9,6.4,77.1,0.5,7.1,7.6,8,3.3,1.7,0.3,2.7,52.5,5,0,6.1
Jayson Tatum,BOS,26,21,17,4,36.4,28.4,9.1,20.1,45.4,4,10.6,37.4,6.2,7.7,80.2,0.5,8.1,8.6,5.6,3,1.3,0.6,2.4,50,9,0,10.1
Anthony Davis,LAL,31,20,12,8,35.4,27.8,10,18.4,54.2,0.8,2.1,35.7,7.2,9.1,78.6,2.6,9,11.5,3.3,2,1.3,2,2,54.2,14,0,-1.4
De'Aaron Fox,SAC,26,21,9,12,37.7,27.5,10,20.3,49.3,2.1,6.3,34.1,5.3,6.6,80.6,1,4,5,5.9,3.6,1.6,0.1,2.6,44,4,0,0.8
Kevin Durant,PHX,36,12,10,2,37.3,26.8,9.6,18,53.2,2.8,6.3,43.4,4.9,6.1,80.8,0.3,6.7,6.9,3.2,3.3,0.6,1.6,1.8,43.1,1,0,3.3
Anthony Edwards,MIN,23,20,10,10,36.9,26.7,9.3,20.8,44.6,4.5,10.7,42.3,3.7,4.7,79.6,0.7,4.8,5.5,3.7,3,1.3,0.6,2,41.5,1,0,0.9
Damian Lillard,MIL,34,16,8,8,36.2,25.9,7.9,18,44.1,3.3,9.2,36.1,6.8,7.3,92.3,0.6,3.9,4.5,7.8,2.8,1,0.3,1.9,44.1,5,0,-0.2
