Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Julian Strawther,2,33.8,28.5,8.5,20,42.5,4.5,11,40.9,7,10,70,0.5,3.5,4,3,4,1,0.5,2.5,2
Jaime Jaquez Jr.,2,28,26,9,15.5,58.1,1.5,3.5,42.9,6.5,8,81.3,1,7,8,3.5,4,1.5,0,2.5,14
Jordan Miller,5,28,25.4,7.8,14.2,54.9,2.4,4,60,7.4,9.2,80.4,1.4,2.8,4.2,2.6,2.2,1.4,0.8,2.8,9
Brandon Miller,1,32.8,23,7,16,43.8,5,10,50,4,4,100,1,7,8,2,7,0,0,4,3
Jaden Springer,1,25,23,8,15,53.3,3,6,50,4,4,100,1,1,2,6,0,2,0,1,-3
GG Jackson,6,33,22,7.8,17.5,44.8,3,8,37.5,3.3,5.3,62.5,2.3,6.2,8.5,2.2,2,0.5,0.2,1.2,10
Stephon Castle,1,29.4,22,8,21,38.1,2,6,33.3,4,5,80,2,3,5,4,5,1,0,1,12
Jalen Wilson,5,29.4,21.8,7,14.8,47.3,4.4,8,55,3.4,3.8,89.5,1,3.6,4.6,1,2,0.6,0,2.4,2
Adam Flagler,2,25.7,21.5,7.5,15,50,5,9,55.6,1.5,2,75,0,1.5,1.5,1,0.5,0.5,0,1.5,-13
Scotty Pippen Jr.,6,30.5,21.5,6.8,14.8,46.1,1.3,4.2,32,6.5,7.7,84.8,0.8,4.2,5,8.7,2.3,3.3,0.5,5,14
Dalton Knecht,3,31.2,21.3,7.7,18.3,41.8,3,7.7,39.1,3,3.7,81.8,0.7,4.7,5.3,2.3,2,1.7,0.7,3,-9
Neemias Queta,2,24.1,21,8,12.5,64,0,0,0,5,6,83.3,5,3.5,8.5,1,0.5,0.5,2,3,6
Reed Sheppard,4,33,20,8.3,16.5,50,1.3,4.5,27.8,2.3,3,75,0.3,4.5,4.8,5.3,4.8,2.8,1.3,3,4
Josh Christopher,6,25.9,19.3,6.7,12.3,54.1,3.5,6.7,52.5,2.5,2.5,100,0.7,2.3,3,1.8,1.7,2,0.7,4,11
Jett Howard,3,26.8,19,6.7,13.3,50,3.3,7,47.6,2.3,4,58.3,0.3,0.7,1,3.3,2,0.3,0,1.7,7
Ricky Council IV,4,29.7,18.8,5.3,14.3,36.8,1,5.5,18.2,7.3,8.8,82.9,1,4.3,5.3,1.8,1.5,2.3,0,1.8,6
Ronald Holland II,4,27.4,18.8,7.3,17.8,40.8,1,4.3,23.5,3.3,5,65,2,4.5,6.5,2.3,1,1.5,1,1.8,1
Brandin Podziemski,2,30.6,18.5,6,12,50,3.5,7,50,3,3.5,85.7,2,7.5,9.5,6.5,5,1.5,0,1.5,10
A.J. Lawson,5,27.8,18.4,6.2,13.2,47,1.6,5.6,28.6,4.4,6.2,71,0.6,4.4,5,1.6,1.2,1.2,0.2,1.6,-4
Ajay Mitchell,2,27.4,18,7,16,43.8,1.5,3,50,2.5,2.5,100,1,1.5,2.5,4,2.5,2,0.5,4.5,-18
Jarace Walker,4,33.9,18,5.8,13.5,42.6,2.8,6,45.8,3.8,4.8,78.9,0.8,6.5,7.3,4.8,5.5,1,1,2.8,-4
Kel'el Ware,6,26.5,18,7,11.3,61.8,0.5,1.7,30,3.5,5,70,1.7,6.7,8.3,1,1.8,1,1.5,3.2,11
Tristan da Silva,3,26.8,17.7,5.7,9.3,60.7,3.3,5.7,58.8,3,3,100,1,4,5,3,1.3,1.3,0,1,10
