   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Giannis Antetokounmpo,MIL,12,35.3,32.3,13.1,21.6,60.6,0.2,0.8,20,6,9.9,60.5,2.3,10.1,12.3,6.1,0.5,1.4,2.8,37.5
2,Anthony Davis,LAL,12,35.1,31.1,10.8,19.2,56.1,1,2.3,42.9,8.6,10.8,79.8,2.4,8.8,11.2,2.6,1.3,2,2.3,35.3
3,Jayson Tatum,BOS,14,36.4,29.7,9.2,20,46.1,4.2,11.1,38.1,7.1,8.6,81.8,0.4,7.4,7.9,5.9,1.4,0.6,2.9,30.1
4,Nikola Jokić,DEN,10,38.1,29.7,10.8,19.2,56.3,2.2,3.9,56.4,5.9,7,84.3,4.5,9.2,13.7,11.7,1.7,1,4.1,44.2
5,LaMelo Ball,CHA,12,33.8,29.6,10.2,23.1,44,4.6,12.6,36.4,4.7,5.3,87.5,1.1,4.3,5.3,6.3,1.3,0.3,4.3,24.8
6,De'Aaron Fox,SAC,14,37.3,28.9,10.5,20.6,50.9,2.1,6.2,34.5,5.7,6.8,84.2,1,4,5,5.6,1.8,0.1,3.6,26.5
7,Anthony Edwards,MIN,13,37,28.4,10.1,21.5,46.8,4.9,11.6,42.4,3.3,4.5,74.1,0.5,4.7,5.2,3.6,1.2,0.5,3.2,23
8,Luka Dončić,DAL,13,37.2,28.2,9.8,23.2,42.5,3.2,10.1,32.1,5.3,6.7,79.3,0.6,7.2,7.8,7.8,1.5,0.3,3.3,27.7
9,Shai Gilgeous-Alexander,OKC,13,33.2,27.9,9.8,20,49.2,1.8,5.8,30.7,6.5,7.2,89.4,0.9,4.6,5.5,6.2,1.6,1.2,2.7,28.8
10,Karl-Anthony Towns,NYK,11,33.9,26.5,9.5,17.8,53.6,2.7,5.4,50.8,4.6,5.6,82.3,3,9.2,12.2,2.7,0.8,0.8,2,31.7
11,Damian Lillard,MIL,10,35.8,26,7.9,17.8,44.4,3.2,9.2,34.8,7,7.7,90.9,0.8,3.8,4.6,6.6,1,0.2,2.7,25.1
12,Jaylen Brown,BOS,10,36.8,25.6,8.6,20,43,2,6.8,29.4,6.4,8.2,78,1.6,5.5,7.1,4,1.1,0.4,2.3,22.7
13,Jalen Brunson,NYK,12,34.5,25.3,8.9,18.8,47.6,2.2,5.8,37.7,5.3,6.5,82.1,0.4,2.5,2.9,6.6,0.4,0,2.3,22
14,Cam Thomas,BKN,13,34.2,25.3,8.5,18.3,46.2,3,7.5,39.8,5.4,6.1,88.6,0.3,2.9,3.2,3.1,0.8,0.1,2.8,19.2
15,Kyrie Irving,DAL,12,35,24.9,9.4,17.2,54.9,2.9,5.6,52.2,3.2,3.8,84.4,1.2,3.8,4.9,5,1.5,0.3,2,26.3
16,Donovan Mitchell,CLE,14,31.1,24.6,8.7,18.6,46.9,3.8,9,42.1,3.4,3.9,85.5,0.6,3.8,4.4,4.1,1.5,0.3,2.1,22.3
17,Tyler Herro,MIA,11,33.5,24.5,8.5,17,49.7,4.4,9.5,45.7,3.2,3.7,85.4,0.3,4.7,5,5.3,0.6,0.2,2.7,23.7
18,Brandon Ingram,NOP,14,33.6,23.6,9.4,19.9,47,2.5,6.9,36.5,2.4,2.8,87.2,1.1,4.9,6,5.4,0.9,0.6,3.8,21.9
