,Player,TEAM,PPI
0,Luka Dončić,DAL,2.1991743119266056
1,Giannis Antetokounmpo,MIL,2.207236842105263
2,Shai Gilgeous-Alexander,OKC,2.3080246913580247
3,Jalen Brunson,NYK,1.9573412698412702
4,Kevin Durant,PHX,0.9722353870458136
5,Devin Booker,PHX,1.9595751633986929
6,Jayson Tatum,BOS,2.3885361552028215
7,De'Aaron Fox,SAC,2.3167262969588553
8,Stephen Curry,GSW,2.315021725636251
9,Nikola Jokić,DEN,1.7376251788268955
10,Tyrese Maxey,PHI,2.3415652173913046
11,Anthony Edwards,MIN,2.0151663405088063
12,LeBron James,LAL,1.710324171952079
13,Kyrie Irving,DAL,2.2986060606060605
14,Anthony Davis,LAL,2.2568195718654436
15,Damian Lillard,MIL,2.0176738141650423
16,DeMar DeRozan,CHI,2.2606514084507046
17,Kawhi Leonard,LAC,2.210444027517198
18,Jaylen Brown,BOS,2.0438283828382837
19,Zion Williamson,NOP,2.1976375404530746
20,Cade Cunningham,DET,2.0449174917491746
21,Paul George,LAC,2.19302398989899
22,Paolo Banchero,ORL,2.1400943396226415
23,Jaren Jackson Jr.,MEM,1.9512793914246196
24,Dejounte Murray,ATL,2.157262569832402
25,Cam Thomas,BKN,2.2954431960049937
26,Kyle Kuzma,WAS,1.9563100137174212
27,Karl-Anthony Towns,MIN,1.963175906913073
28,Pascal Siakam,IND,1.0559523809523808
29,Victor Wembanyama,SAS,1.8762490678598063
30,Jamal Murray,DEN,2.141650165016502
31,Alperen Sengun,HOU,2.3427217125382263
32,Miles Bridges,CHA,2.379680365296804
33,Brandon Ingram,NOP,2.157835581245986
34,Jimmy Butler,MIA,2.2493827160493827
35,RJ Barrett,TOR,1.52896174863388
36,Tyrese Haliburton,IND,1.3947411003236245
37,CJ McCollum,NOP,1.9548596851471594
38,Scottie Barnes,TOR,2.278445658773528
39,Terry Rozier,MIA,2.3493080625752105
40,Franz Wagner,ORL,2.2633644859813087
41,Jalen Green,HOU,2.242567994939911
42,Mikal Bridges,BKN,2.2510340632603407
43,Devin Vassell,SAS,1.4503480278422272
44,Domantas Sabonis,SAC,2.2389701401584396
45,Bam Adebayo,MIA,1.9746666666666666
46,Coby White,CHI,2.349710144927536
47,Jalen Williams,OKC,0.7981586402266289
48,Collin Sexton,UTA,1.8237089201877934
49,Nikola Vučević,CHI,0.6672028596961573
50,D'Angelo Russell,LAL,2.2683426443202976
51,Klay Thompson,GSW,1.7378337147215868
52,Fred VanVleet,HOU,2.368685121107267
53,Jordan Poole,WAS,2.00980595980596
54,Brandon Miller,CHA,2.1798850574712643
55,Tobias Harris,PHI,1.5395089285714285
56,Myles Turner,IND,2.115104166666667
57,Immanuel Quickley,TOR,2.1708499335989373
58,Bogdan Bogdanović,ATL,2.141732804232804
59,Michael Porter Jr.,DEN,2.23516761543327
60,James Harden,LAC,1.5635761589403974
61,Chet Holmgren,OKC,1.955926724137931
62,Jarrett Allen,CLE,2.2436432637571158
63,Jonathan Kuminga,GSW,1.733050847457627
64,Austin Reaves,LAL,1.6879157427937914
65,Keldon Johnson,SAS,2.053505154639175
66,Donte DiVincenzo,NYK,2.106754921928038
67,Kelly Oubre Jr.,PHI,1.9374293785310734
68,Malik Monk,SAC,2.0152536231884057
69,Jaden Ivey,DET,1.2904761904761903
70,Keegan Murray,SAC,2.0768087855297157
71,Derrick White,BOS,2.2593905472636817
72,John Collins,UTA,2.0776041666666663
73,Deni Avdija,WAS,2.0698913781398502
74,Bennedict Mathurin,IND,0.97533748701973
75,Tim Hardaway Jr.,DAL,2.0741980474198045
76,Dennis Schröder,BKN,1.401581508515815
77,Caris LeVert,CLE,2.089275956284153
78,Scoot Henderson,POR,2.0637113402061855
79,Rudy Gobert,MIN,2.1005758157389636
80,Norman Powell,LAC,1.4272401433691757
81,Aaron Gordon,DEN,2.212698412698413
82,Jalen Duren,DET,2.049272349272349
83,Bobby Portis,MIL,1.864313725490196
84,Jabari Smith Jr.,HOU,2.2843228200371057
85,Gary Trent Jr.,TOR,1.5310473815461347
86,Saddiq Bey,ATL,2.1132817537072857
87,Rui Hachimura,LAL,1.9664847161572052
88,Grayson Allen,PHX,1.1110288065843623
89,Naz Reid,MIN,1.9025077160493828
90,Cameron Johnson,BKN,1.6818910256410255
91,Corey Kispert,WAS,0.6217013888888889
92,Andrew Wiggins,GSW,1.9683333333333333
93,Keyonte George,UTA,2.1205782312925168
94,Duncan Robinson,MIA,2.105238095238095
95,P.J. Washington,DAL,0.8708097928436913
96,Dillon Brooks,HOU,1.6337509491268036
97,Jalen Suggs,ORL,1.1775238095238096
98,Brook Lopez,MIL,1.730561797752809
99,Jrue Holiday,BOS,1.1117671691792295
100,Josh Giddey,OKC,1.2676413255360626
101,Jonas Valančiūnas,NOP,1.9743445692883894
102,Harrison Barnes,SAC,1.6057142857142856
103,Max Strus,CLE,1.7439492753623187
104,Aaron Nesmith,IND,2.0425227113906357
105,Ayo Dosunmu,CHI,2.0760353021045486
106,Buddy Hield,PHI,1.8254879000780642
107,Tyus Jones,WAS,2.09868154158215
108,Jaime Jaquez Jr.,MIA,2.1012533875338755
109,Nic Claxton,BKN,1.9339031339031336
110,Ivica Zubac,LAC,0.8753184713375796
111,Jeremy Sochan,SAS,1.4617816091954023
112,Cole Anthony,ORL,1.9138632872503842
113,Clint Capela,ATL,1.8991628614916287
114,Mike Conley,MIN,1.9684079601990045
115,Malik Beasley,MIL,2.0853494623655915
116,Zach Collins,SAS,1.944595616024187
117,Russell Westbrook,LAC,1.7354852320675105
118,Eric Gordon,PHX,1.9743945868945871
119,Herbert Jones,NOP,2.1705825242718446
120,Daniel Gafford,DAL,1.751358024691358
121,Jusuf Nurkić,PHX,1.8831075996990219
122,Luguentz Dort,OKC,2.0517561983471078
123,Moritz Wagner,ORL,1.7084409991386735
124,Bruce Brown,TOR,2.0862363387978142
125,Santi Aldama,MEM,1.9545787545787547
126,Jaden McDaniels,MIN,2.1714192708333333
